asrn	17907 
marked	14867 20082 15394 18995 19986 15384 14987 16343 16248 16158 
exports	21080 16201 15877 19658 17593 16752 19377 18281 17906 16256 15798 21497 16080 19388 17926 15866 21392 15430 21502 15368 21486 19480 19539 17686 15890 15725 20005 14903 20469 14882 15922 14881 15262 18257 19478 16196 16499 15928 18993 21525 16775 14832 16759 17930 20511 15906 17948 18061 20682 14931 19835 18992 20764 19947 16257 14862 20335 18798 16495 15871 17670 19555 16088 21023 20757 16442 18996 20264 15921 19295 15914 18150 21031 20989 18599 18348 18352 18911 18519 15925 15910 21575 18302 17503 18621 16366 15953 19367 16125 19918 14833 16856 16197 15551 16158 15424 21277 16097 21506 16794 16190 16505 21562 18095 15737 16139 16118 15864 21473 15573 18995 15870 15875 21568 16525 14912 18991 16079 20500 15450 18136 15868 17924 15874 15246 17054 21570 18466 16564 16126 20045 15556 18908 16762 15676 15313 15865 16852 15198 18973 17452 15853 21567 14858 20080 18009 17896 19033 15063 15840 18990 19065 16052 20382 19044 18104 15923 19101 15154 17477 14826 16926 21508 19040 
freeze	20335 19875 20462 18614 
revising	16871 15875 
prev	15890 18721 18769 15871 
cul	18591 
yield	15043 15742 15103 15855 17620 18187 16139 15875 18024 15847 17871 15448 16681 15859 16177 18904 20001 15643 16565 16180 16393 19529 17503 15929 15642 21124 16096 19512 15816 15858 
553	16365 15875 19644 19674 21036 16668 
harris	16009 19331 18360 15620 19285 
implements	21532 
pesticide	19269 
voice	18034 16496 18035 20485 
niche	15063 
awful	21131 
chaco	15043 
jeopardise	19167 
levelland	21050 
discrepancies	15906 16354 
strata	15295 15296 18567 
forces	21475 20756 20089 17509 17979 21013 21002 17436 16072 18160 15246 20333 18231 20991 21465 20624 21130 21443 20981 14904 20882 20828 20719 15230 20881 17849 21459 20632 18674 21369 19557 20890 18271 21492 17888 
pti	15967 
container	16152 19073 21354 20261 14839 
goose	17863 
retain	17873 18651 19962 20398 15366 16621 19839 19930 20744 19101 17507 16163 19191 16775 17973 18467 18663 16656 
queen	14959 
pakistan	19947 15925 16327 17662 16225 18009 15238 21574 19835 15220 16107 19982 
plc	15314 16307 17574 18938 15110 15396 17053 15571 17900 16555 16636 16152 17922 17984 18252 19191 14860 21503 14907 20352 18774 20039 19378 19984 19962 18479 16207 16490 16145 20037 16680 17986 17701 16140 19295 17540 17901 17048 16141 16175 20398 16747 18497 18280 16095 19810 15161 14859 15055 15404 18600 15427 18514 19087 15372 15478 16833 16399 14941 19470 15308 15421 16287 16173 17876 19982 16136 18577 18888 19420 19290 16925 18730 17964 19649 15674 15387 18595 15696 15380 16311 21261 19690 16176 16159 17488 19241 16429 20467 19507 15425 21550 15468 15389 18575 19050 21097 21538 18483 19631 14872 17950 18906 20489 21321 17773 20035 21466 14900 15379 19510 21019 18667 
fww	21404 
thing	20262 20409 20039 16072 20500 17896 20335 15617 
revenge	20333 
offensive	15230 
761	16415 
rising	15452 16357 16777 15454 15106 16241 17750 21469 16763 19199 15742 19191 19478 16144 16094 18993 18296 19005 17930 20865 19509 14931 18665 17883 19201 18487 16268 15639 20264 15455 16009 18911 18985 17970 19432 18146 21002 14833 20902 15375 16103 15254 16158 15410 16794 16190 20038 15364 18142 21532 19559 15450 18136 15246 16784 19844 15939 15400 16071 16852 15313 18917 18085 17452 17923 15615 15389 18672 16108 17896 19000 16790 15503 19867 19285 16310 20868 16343 21508 19040 
taxpayer	18504 
charterers	18128 15531 
reasonable	15616 14862 21013 16232 14890 14909 20230 16214 14858 18186 
bii	20776 
ports	16076 21486 15273 14957 19122 16071 14839 15727 21574 18128 19097 15290 19092 21568 
juen	21050 
tata	19571 
adjustment	17601 15918 18987 16016 20038 20467 16108 20116 15444 16238 16367 18991 21437 15543 18472 17538 17519 
because	14862 18482 16513 16763 19199 14984 17574 21006 20869 18744 16112 14843 15798 21368 18938 20756 16871 21497 16171 16357 21392 16029 19480 17915 19683 15325 15861 18086 21486 18609 18217 18138 20005 15742 18108 19989 14892 19191 16646 15026 15602 19075 18257 15103 16144 18945 19478 16196 16094 18863 20898 21525 15549 21530 15672 14921 20039 17930 16723 15416 14931 16753 19237 18992 20764 18128 15621 16268 16442 15552 15455 15968 20792 17980 19875 16565 16146 19057 15511 20753 18911 19432 16215 21542 18519 18280 16315 21131 16095 19998 18302 15929 15263 18066 16130 19672 15312 15274 15893 14833 21403 16856 21557 17443 15551 15424 16097 16399 19828 16794 16505 18035 14863 15290 19511 15364 17700 16139 17876 15454 20025 20270 14890 18275 21573 19760 17863 14873 16367 15045 20744 16784 15310 20973 18024 16053 16075 15600 16219 19069 16147 15556 21362 14852 19471 18642 18688 15453 17874 19775 18917 15400 15309 19241 20186 20378 18177 21561 16122 19269 19557 18317 17714 15255 19387 19318 20878 17877 17966 18672 17923 21193 18009 15565 17448 17896 17888 18614 16740 20019 16790 19033 17499 19006 20013 15503 19065 17654 18663 18585 16749 17036 18186 15720 21202 15227 15357 15363 19285 14911 16093 17568 17477 14826 16926 20552 15020 19040 
persistent	21157 15352 20259 
ruling	19658 21368 18774 16630 16770 17823 15372 17700 21423 14959 19546 17047 14951 16636 21371 20458 15549 18835 15194 15033 16777 16238 15450 15453 17874 20441 17966 18672 14826 21508 
agrement	17519 
terrence	21376 
destabilizing	16072 
collectively	16159 
sdsb	20256 
apart	17915 20095 14890 19028 
depositors	19191 14891 
garn	18554 
div	16518 20493 16916 15233 15258 18495 15496 20339 14998 15707 16471 19854 21234 17922 20370 14860 20514 16835 15211 19053 16437 16207 15082 15632 16834 19561 16838 16141 16175 18481 15077 18563 18497 15012 16393 21372 15427 21281 15902 21221 16884 16717 15193 15709 17554 15688 15078 15157 16839 15759 16837 15300 16468 15457 20668 14934 15387 15380 16392 21362 16909 16795 16003 15702 16472 16858 16470 15930 16653 15283 15708 16473 15299 18483 15901 15208 15197 15897 16469 15118 16890 20535 16401 16836 15637 
idcs	21376 
arrive	15048 15290 20261 19128 
784	15680 14971 20973 16266 16551 
rule	20089 18071 18835 20001 16770 18146 16226 19672 19968 17886 17700 20500 15237 19241 19419 15620 16564 20081 15669 19412 
foodgrain	17443 15567 
inherent	20881 17488 
gaming	15226 16216 
kharrazi	21216 
min	16179 15580 
qinghai	16750 17923 
kelly	18302 19386 
dividend	21146 17822 15283 16119 15496 20217 15280 17873 20803 20339 17574 15707 16112 16670 15736 17900 15528 21412 20814 14903 15011 20370 19679 17660 15593 16679 20767 15211 20493 16476 14921 15597 16568 16792 16207 16726 15082 15233 16394 17901 16175 15077 17479 15012 15867 20628 15438 21265 17630 18563 17619 14859 15055 15258 15397 15190 18600 15878 18514 17573 14876 21281 15569 21221 19571 21078 15655 16396 15421 16417 16717 19280 20440 15078 15547 15413 16638 15704 17964 16216 15300 20668 14934 15581 21362 16795 14930 18229 16003 16858 17488 15772 17672 15406 15930 16653 15197 15429 15208 16678 15118 15808 20535 15020 
warnings	16072 
embarking	18858 18902 
inch	19744 17686 17771 20093 19721 15973 20981 17813 21013 19832 
haltenbanken	17618 
overcome	19835 18009 
restricting	18835 18357 
gases	17911 
whitehouse	19373 
authorized	21382 15605 18600 20667 15290 18782 15029 15095 20216 19737 17574 18281 19388 18138 15273 16792 17502 20137 16601 15107 
plagued	15213 
debentures	17574 20517 19136 21222 15511 19155 16826 16370 15565 16727 21376 21039 15967 21469 17873 16163 18605 20321 19833 20344 18210 19241 
341	20368 21192 15613 17035 18326 15960 21238 19343 
7239	19121 
faulty	15254 
mosier	19810 
hydro	21541 20270 
shanghai	18479 19097 15409 19487 
152	18482 20391 21359 15567 16569 18158 17923 20308 21488 21330 16421 18828 16598 16023 16592 18062 20168 15841 15864 16363 21570 15999 16343 
13p	18514 
hurts	15675 
unroasted	21567 
danida	20261 
appreciated	15453 19040 
icahn	20824 14982 20306 20321 
oppenheimer	16513 21210 20216 
shol	19083 
setbacks	15103 
hospitals	19453 16677 
profitability	14843 18849 17644 17686 21486 
ecop	21532 
compaq	14975 
diplomats	20778 19534 18340 16257 16366 21002 16139 19684 15447 16241 19867 21006 16256 20756 16103 19551 
snags	20611 
pinnacle	18872 
hake	20511 
ingots	14882 18945 16750 15556 
blended	17573 18229 
unchanged	18086 18345 19136 20532 18604 19506 16173 16574 18490 20265 18222 18011 15520 18744 16080 21245 16271 14892 16314 19198 14875 18590 18367 17883 20116 15444 15539 21131 15438 19529 18749 15929 16195 17875 16251 15547 15344 15567 19986 15625 15924 15581 20267 17927 16071 15384 15339 19387 19318 14987 18527 16853 20709 15550 15020 19040 
lome	18700 18150 
maine	19050 
cper	15626 
auctions	16213 19483 17896 20382 
algeria	15911 20239 15904 15726 19397 20738 15446 19285 16601 17503 15531 
poses	15551 20186 
ceylon	17494 19069 
dangers	17915 20001 16075 
781	21100 17965 15667 18602 20814 21091 
phot	21206 
ccx	16523 21071 
shirts	15240 
emirates	17926 18329 19491 17436 17924 19499 16120 19529 16366 16658 
rivers	19165 17813 17521 
tennis	14941 
extraordinarily	16196 
writedowns	16171 16055 
apartment	18778 
pie	18682 16247 
invisibles	18347 16775 
tudor	19343 
endowment	18595 
peer	21542 16006 
583	19865 15103 21404 15594 15851 16162 20189 
pfennig	15625 
8999	16177 
constitute	17670 15511 16179 15417 19477 
rtrs	15110 
queues	15106 
scott	17973 17760 17506 16350 21401 17860 20618 19256 15308 19935 17700 17876 16875 21046 
ntk	15605 
exported	18744 20005 14882 15871 18348 16658 19918 15409 19844 17452 19065 15132 16601 16525 16079 
marlin	15223 16903 16794 15171 19882 16926 
nyco	20319 
gilotherm	17743 
bunch	16636 
prompt	19497 14840 20101 19097 
uncertainty	16171 18138 19169 16723 17894 15527 16268 20792 21542 16158 18849 18360 17871 19040 21210 19167 
cay	18149 
mmm	18080 
passes	19169 21131 18328 17888 18357 
reshaping	15478 
gasoil	15520 
gustev	21423 
store	18222 18938 15742 18783 17710 20363 17839 19450 16332 15240 17703 18962 
well	18609 20039 15444 16856 18317 16763 18896 15452 15396 20232 21541 15691 14993 20464 14849 18993 19950 15239 21367 14931 17883 17813 20335 18531 15574 15455 15596 19295 21128 16140 17980 16565 18306 20231 16788 19432 16215 18621 16777 19832 18600 16130 21557 15551 15375 18297 20093 16399 14941 15364 18530 21510 19540 17876 16710 20774 21473 18995 17816 21423 20270 16525 16430 18571 15045 18991 16068 18160 15246 18849 18185 15226 16216 16784 15556 18642 17874 16481 21123 15400 19684 17707 18177 18739 15939 18328 19492 17896 16790 15287 17499 18148 18924 16332 15503 14900 20959 15238 19040 17516 17568 
complaining	15620 
pumping	19998 17054 16739 
832	16681 20746 16248 
propects	17966 
ibc	19480 21421 19711 19458 21393 20382 18860 
load	15710 15942 17955 
buinesses	17839 
forseeable	18490 
opposition	17915 19534 16646 18257 18599 16095 16226 18530 21510 18614 17036 18682 19377 18297 19968 18565 18328 18271 17477 21508 
robins	19946 19939 
identifed	15345 
951	16371 15875 16203 
hollis	15404 
crushing	21006 18531 15953 21216 
576p	19507 
optional	15871 
meanwhile	21197 20379 15549 14921 14957 19055 19223 14959 19017 19344 19199 21367 15253 19483 16200 14839 15840 14826 21508 
tl	15871 15664 19380 
otsuki	16777 
rainier	21435 
minntech	18326 15801 
herculaneum	15767 15556 
ageements	20343 
04	20302 15860 15321 17034 20715 20213 16623 15864 19044 16513 19110 20309 15325 21412 20334 16599 20273 20937 20370 15922 15928 15356 16775 20671 15906 15921 15914 15925 16315 15910 16725 20279 18566 15410 21489 15875 19787 21117 16367 16644 15391 20640 15753 17923 21386 19050 18009 17896 15238 15923 20215 17933 20822 
bourse	18530 
nl	14865 20685 
riyals	19110 16180 16096 
training	20210 15244 16788 16734 17780 15664 
367	19118 15871 19181 15413 19127 21404 20284 
167a	15642 
pdt	19758 
credit	16371 15427 20931 16513 16307 21469 15729 17593 18676 18281 16112 21497 21447 19388 18277 15949 17755 18086 20262 19683 16636 18263 16170 15303 20363 16163 14860 19965 18721 19478 20409 15103 16888 15985 20829 14849 16250 15211 18296 15481 16589 16723 17620 20606 19947 16200 20678 18135 15639 15552 19983 16770 18830 17901 16141 16175 17051 20725 15511 15477 17952 14891 17965 19432 16848 19511 15417 16072 19029 20407 20500 16767 17964 17870 15310 16815 16221 16339 16316 16644 17874 18276 15352 16852 15149 21415 18339 19028 18973 15411 18317 20259 16885 17966 18672 14983 18614 18483 15091 17758 21251 20658 15271 20291 15927 17036 16825 19291 19213 20611 15132 20393 16604 20868 16601 15471 15916 
231	16080 18347 15459 21300 14981 21215 17672 21238 21193 21386 
indicated	17470 18138 20232 15239 21367 16833 15454 16430 16370 21314 19510 18086 15624 16286 18531 15871 17952 20231 19955 15817 17896 15858 
employess	19411 
shirley	18300 19419 
nearly	19560 15234 21502 18108 15643 14957 16226 19367 17700 16564 18921 15352 15900 20005 17731 15549 15975 15290 19055 14890 16430 19559 20048 15246 16053 16395 17585 17452 17923 18672 19343 16740 17871 14839 14949 14987 17477 20868 
belga	19092 
securitisation	19191 
americans	16200 18099 20500 19684 20911 21006 21197 20756 18328 18271 
sugarbeet	17923 
jawboning	18360 
destroyer	20774 
alleviate	18744 19165 17502 17980 
dcf	16026 
rich	18621 
christian	17915 15253 19875 
poorest	17980 15551 
hostages	15198 
pursuant	15375 21404 20698 17706 15452 
5	20442 19344 20187 16307 21469 21430 20494 19110 16684 20457 18703 18482 19657 15094 20421 16513 16264 17766 16681 16294 20217 20803 17593 18676 20339 21017 16752 14984 16502 17574 20497 17728 16715 20869 21368 21497 16448 21447 17926 16080 21319 18610 19850 19377 16112 19041 14843 15307 20304 19744 16278 21176 21385 20450 17900 20368 21302 15640 18347 20533 20446 18309 18277 17042 15104 20262 19683 18086 15017 21486 19692 14988 19854 15810 16342 15980 18609 15890 21036 15725 18313 20648 20468 18870 21553 16662 20363 20206 15803 20814 15043 16282 16274 20370 21541 16488 21164 19912 14882 19989 15996 18252 19865 14860 15560 20735 18355 15732 15613 20915 21357 16163 21346 15742 14892 16314 20988 15922 16346 15188 20517 15952 15721 19075 18564 21148 20165 18243 16155 16432 19451 16077 15250 19978 19478 21460 16196 18345 15103 19837 16888 21382 16100 16923 16642 17731 15833 16337 16798 21175 16386 15672 19088 17783 19815 20767 16454 16685 18993 19374 16250 20797 19427 21525 20685 19136 18496 16005 20453 18296 17658 16775 14832 21308 15605 20352 17569 17930 20392 20511 20746 18366 19258 18875 19943 19005 16759 14921 15797 18180 20682 16714 16269 19509 16554 16872 20324 18665 17620 18128 19428 21136 16700 21248 16641 20502 15728 16753 16383 21237 21103 20414 15860 21574 21196 20894 15845 20634 18479 15194 16055 15130 20181 17760 21378 19483 16207 21388 20001 17733 21219 19475 19947 15521 14918 15048 16630 14862 16007 20651 21259 19083 20235 19004 15793 16817 15871 19803 20465 15632 20116 18351 19555 18975 20711 15444 15336 19706 16023 21146 16680 18996 21132 18465 18719 17034 21474 17802 20357 15145 19799 15552 15695 20975 18520 20264 15921 17480 15914 17913 17834 17556 21166 18627 16770 18300 20779 21300 18830 20954 15829 15590 20792 16140 17901 20406 17551 16180 16009 16141 19360 20135 18481 20247 17051 21356 20725 21037 20189 21490 16565 16175 15668 18352 18911 20353 18985 15121 17970 19441 16215 19082 18519 18146 21131 16120 15610 17965 21285 17545 20117 19699 18497 15899 15925 21195 16022 14891 21260 15023 15438 18191 20910 21265 21044 15910 21575 19998 17503 15049 20380 16619 16371 19648 20391 15348 20470 18302 19713 15404 21199 20213 16179 18648 17727 17506 19042 20529 16130 15337 15427 20813 21215 18514 20802 17839 19368 21414 15365 21403 18470 20569 20269 15878 16275 16016 19267 16546 17443 16248 21060 15478 15254 16158 16672 20093 20168 16910 16299 21489 21221 20112 15265 15551 20286 19062 20365 17967 15410 20650 21286 16399 21315 16800 21405 21266 17752 20918 15726 15247 17875 15536 19435 17640 15964 15558 17805 18283 20455 16913 15737 17785 21480 19933 15097 20946 15193 18242 16139 16173 21350 15889 21232 19375 17700 17897 20800 16107 21271 19957 15056 21143 15969 20791 18995 18480 21532 18354 16262 20833 16676 16628 21423 18708 20270 17442 16377 15276 15875 19751 19029 19966 17866 20048 15723 21142 21437 21236 20770 17808 18571 21117 19559 19710 16367 20319 16441 20407 15567 21322 15349 19081 15578 18991 19986 17924 15704 20256 19930 15141 21373 16655 20274 17486 21214 19723 17870 20837 15924 18857 15682 16468 18849 15226 20263 15311 20973 18024 16053 20448 18595 16434 21408 21113 21073 15600 20812 15476 20208 19369 19077 15909 17054 17576 16402 16521 20300 20473 15264 16698 15380 20984 16126 19680 20252 16013 19721 16602 18488 17849 19767 15960 21362 16909 18534 20640 20888 18642 18229 16644 16176 17655 15581 20118 16804 16096 18509 20488 16360 16147 19487 18537 16795 19431 21135 20332 18028 20344 18591 15543 19178 21523 15313 19862 15719 20255 15944 15352 21179 20900 16858 16429 17617 20784 19981 17784 15136 19297 20564 18210 19241 16458 15205 21343 18816 17707 15149 21283 21415 20798 17907 15198 17672 15406 18973 18317 15811 19499 20314 16266 20896 16149 15255 19028 21227 19459 15641 20927 16400 21018 21314 16664 17714 21081 16487 15283 21431 20969 16885 17916 21386 20490 19477 16161 20885 20794 15853 18239 17457 17923 21049 21193 16108 19358 20561 18182 20400 18009 15213 15565 15623 17896 20545 19000 16444 18994 18549 18781 19050 20216 20463 16415 16473 15917 18490 15669 21298 18048 19061 18614 18483 15175 16727 16492 16347 16150 16772 17538 20658 19568 19890 20291 20639 15840 19737 15429 18867 18325 20811 21262 16783 14872 20836 15091 16283 20419 19022 15886 18014 19867 20226 17654 20546 18527 15126 16656 15594 20249 15000 18538 21105 21242 18924 18990 15227 21065 18467 16143 20972 17036 15212 20706 19291 19272 17703 15238 16317 19351 15821 16480 18249 21519 21046 20340 21488 18495 16123 19625 16093 15482 21325 17477 20868 21014 18308 16886 18540 15107 16779 21028 18109 20393 16336 19549 20215 16897 20284 21240 20822 20723 16667 15727 16917 21571 20233 
